duration_ms,data_size,n_queries,is_peak_hour,server_load,hour,day_of_week,month,operation_name_encoded
42.26,200,2.0,1,0.17,11,0,3,4
488.75,50,51.0,0,0.259,9,3,3,1
23.82,300,1.0,1,0.659,11,5,1,6
791.66,100,101.0,1,0.778,11,0,1,1
52.88,300,2.0,1,0.603,16,5,1,4
20.06,500,1.0,1,0.784,11,5,1,0
21.28,200,1.0,1,0.314,15,2,2,3
26.9,50,2.0,0,0.47,17,0,3,5
1218.29,500,499.5,1,0.744,11,2,1,1
734.92,50,51.0,1,0.499,11,1,3,1
24.17,300,2.0,1,0.568,10,1,3,5
13.52,200,1.0,1,0.789,11,0,2,3
536.89,100,101.0,0,0.897,18,0,1,1
28.33,50,1.0,0,0.715,18,1,3,6
751.07,200,201.0,1,0.71,14,0,3,1
28.31,200,2.0,0,0.229,18,6,1,4
12.47,50,1.0,0,0.803,17,5,1,6
7.63,100,1.0,0,0.489,8,0,3,0
1061.75,500,499.5,1,0.798,10,3,3,1
773.68,100,101.0,1,0.62,16,0,3,1
1049.84,500,499.5,1,0.284,15,5,2,1
505.24,50,51.0,0,0.788,19,4,1,1
740.94,100,101.0,1,0.557,12,4,1,1
861.29,300,301.0,1,0.474,14,2,2,1
17.6,50,2.0,0,0.299,8,2,2,5
916.47,300,301.0,1,0.455,10,1,1,1
25.59,50,1.0,0,0.841,8,3,3,6
118.69,300,7.0,1,0.888,15,0,1,2
943.86,300,301.0,1,0.224,12,5,3,1
509.43,50,51.0,0,0.14,17,4,1,1
1044.82,500,499.5,1,0.64,10,4,1,1
489.85,50,51.0,0,0.435,17,6,3,1
36.31,200,1.0,1,0.637,12,3,1,6
600.37,200,201.0,0,0.53,9,2,3,1
80.17,200,5.0,0,0.767,9,0,2,2
39.71,500,1.0,0,0.183,8,0,3,6
26.2,50,1.0,0,0.269,9,3,1,0
847.61,200,201.0,1,0.763,16,4,1,1
849.07,200,201.0,1,0.442,10,5,3,1
516.16,50,51.0,0,0.566,19,6,3,1
532.33,100,101.0,0,0.3,8,6,1,1
1288.31,500,499.5,1,0.749,14,1,1,1
41.98,100,2.0,0,0.688,19,2,2,4
524.32,100,101.0,0,0.26,19,1,1,1
30.34,200,1.0,1,0.156,11,1,2,0
51.82,500,1.0,1,0.876,14,5,2,0
604.34,200,201.0,0,0.351,8,2,2,1
11.57,50,1.0,1,0.516,14,3,1,6
20.25,100,2.0,0,0.631,13,1,3,5
794.93,200,201.0,1,0.202,16,6,2,1
709.93,300,301.0,0,0.425,18,0,1,1
27.82,200,1.0,1,0.454,11,1,3,0
686.79,300,301.0,0,0.606,19,4,1,1
532.42,100,101.0,0,0.296,18,6,1,1
664.11,50,51.0,1,0.496,15,3,1,1
511.14,50,51.0,0,0.514,9,0,1,1
538.26,100,101.0,0,0.576,9,5,2,1
46.68,500,1.0,0,0.457,19,3,2,3
881.54,300,301.0,1,0.517,15,6,3,1
32.54,300,1.0,0,0.814,9,3,1,0
693.01,100,101.0,1,0.365,11,4,1,1
716.01,50,51.0,1,0.805,11,6,3,1
9.44,50,1.0,0,0.435,13,4,2,3
31.89,500,1.0,1,0.635,11,5,2,6
48.42,100,2.0,1,0.574,15,5,3,5
27.93,300,2.0,1,0.464,10,3,2,4
1006.94,300,301.0,1,0.116,12,3,2,1
1.0,100,1.0,0,0.86,18,6,3,0
486.1,50,51.0,0,0.551,17,3,1,1
606.71,200,201.0,0,0.722,13,0,3,1
623.15,200,201.0,0,0.867,9,2,2,1
543.68,100,101.0,0,0.718,9,5,3,1
30.81,50,1.0,0,0.396,17,1,2,6
3.63,50,1.0,1,0.468,14,4,2,0
540.87,100,101.0,0,0.836,19,6,3,1
28.7,300,1.0,0,0.848,19,4,2,3
996.14,300,301.0,1,0.495,11,3,3,1
901.78,300,301.0,1,0.321,11,3,2,1
529.65,100,101.0,0,0.292,9,6,2,1
985.86,300,301.0,1,0.345,15,0,1,1
57.23,500,1.0,1,0.463,16,1,3,3
548.85,100,101.0,0,0.861,9,1,2,1
49.37,100,3.0,0,0.577,19,2,3,2
74.05,200,5.0,1,0.136,11,1,3,2
637.76,200,201.0,0,0.182,19,4,3,1
823.23,200,201.0,1,0.191,15,3,1,1
703.08,300,301.0,0,0.749,9,6,3,1
27.32,100,2.0,0,0.595,9,3,2,4
32.88,300,1.0,1,0.148,15,0,2,3
13.44,100,2.0,0,0.239,18,0,3,4
667.98,50,51.0,1,0.666,14,6,2,1
6.84,50,1.0,0,0.572,18,2,2,3
81.78,300,7.0,0,0.761,9,2,3,2
753.58,100,101.0,1,0.651,12,5,2,1
20.18,500,1.0,1,0.583,16,1,1,0
553.44,100,101.0,0,0.638,18,2,3,1
673.22,50,51.0,1,0.608,10,3,2,1
642.48,50,51.0,1,0.364,15,1,3,1
10.48,300,1.0,1,0.423,16,1,2,0
33.25,500,2.0,1,0.6,15,3,2,4
69.68,200,5.0,1,0.879,16,6,3,2
66.7,100,3.0,1,0.191,12,2,1,2
20.91,100,2.0,1,0.486,15,6,3,5
