measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load,cluster_kmeans,cluster_dbscan,cluster_hierarchical
6,2025-01-25T11:18:05,add_grade,20.06,500,1,1,0.784,2,-1,1
36,2025-03-10T08:59:42,get_teacher_subjects,39.71,500,1,0,0.183,0,-1,1
46,2025-02-01T14:07:56,add_grade,51.82,500,1,1,0.876,2,-1,1
58,2025-02-27T19:58:35,get_student_average,46.68,500,1,0,0.457,0,-1,1
60,2025-01-09T09:21:20,add_grade,32.54,300,1,0,0.814,2,-1,4
95,2025-01-14T16:47:20,add_grade,20.18,500,1,1,0.583,0,-1,1
101,2025-03-16T16:07:01,get_group_report,69.68,200,5,1,0.879,0,-1,1
112,2025-03-22T16:58:18,add_grade,9.69,300,1,1,0.898,2,-1,1
115,2025-03-22T10:15:31,get_group_report,73.78,100,3,1,0.83,2,-1,1
128,2025-01-10T09:31:07,add_grade,9.59,300,1,0,0.178,2,-1,4
136,2025-02-02T13:08:47,get_group_report,90.63,500,11,0,0.437,0,-1,1
143,2025-01-03T09:27:06,get_subject_stats,12.65,300,2,0,0.696,0,-1,1
171,2025-02-17T09:23:01,get_subject_stats,40.84,500,2,0,0.39,0,-1,1
193,2025-02-24T13:28:57,add_grade,13.98,50,1,0,0.865,2,-1,4
200,2025-03-12T09:25:20,add_grade,26.96,300,1,0,0.62,2,-1,4
204,2025-03-10T19:57:19,add_grade,3.6,200,1,0,0.781,2,-1,4
209,2025-03-05T08:19:10,analyze_conflicts,873.26,500,501,0,0.23,1,-1,2
211,2025-01-19T09:37:09,get_teacher_subjects,33.1,500,1,0,0.237,0,-1,1
216,2025-01-11T10:15:29,add_grade,30.59,300,1,1,0.198,2,-1,1
280,2025-03-14T12:51:58,add_grade,46.63,500,1,1,0.243,2,-1,1
281,2025-02-09T11:50:25,get_teacher_subjects,24.89,100,1,1,0.163,0,-1,1
299,2025-03-07T10:30:20,analyze_conflicts,1110.74,500,501,1,0.242,1,-1,2
301,2025-01-19T09:34:11,get_student_average,39.28,200,1,0,0.645,0,-1,1
317,2025-02-04T09:15:19,get_teacher_subjects,39.88,500,1,0,0.194,0,-1,1
345,2025-02-05T08:24:55,get_student_grades,56.48,500,2,0,0.771,0,-1,1
351,2025-03-24T17:42:47,analyze_conflicts,842.2,500,501,0,0.241,1,-1,2
354,2025-03-21T09:04:31,add_grade,20.52,500,1,0,0.464,2,-1,1
378,2025-03-12T08:30:34,get_subject_stats,54.58,500,2,0,0.725,0,-1,1
380,2025-01-06T15:06:15,add_grade,29.51,50,1,1,0.625,2,-1,1
389,2025-02-05T10:11:46,get_group_report,150.71,500,11,1,0.101,0,-1,1
428,2025-03-12T18:32:19,get_subject_stats,46.4,500,2,0,0.776,0,-1,1
431,2025-01-16T12:03:55,add_grade,23.68,200,1,1,0.608,2,-1,1
437,2025-03-08T11:14:44,add_grade,14.27,500,1,1,0.802,2,-1,1
445,2025-02-04T19:50:06,get_student_grades,41.71,500,2,0,0.498,0,-1,1
446,2025-01-02T11:35:31,add_grade,32.54,500,1,1,0.828,2,-1,1
457,2025-03-08T09:30:22,get_subject_stats,32.31,500,2,0,0.631,0,-1,1
458,2025-03-06T17:32:54,get_group_report,92.18,500,11,0,0.475,0,-1,1
468,2025-02-15T09:42:37,get_subject_stats,45.89,500,2,0,0.865,0,-1,1
473,2025-01-20T18:45:18,get_subject_stats,23.69,500,2,0,0.649,0,-1,1
478,2025-01-24T18:41:35,get_student_grades,46.58,500,2,0,0.411,0,-1,1
