measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load,cluster_kmeans,cluster_dbscan,cluster_hierarchical
2,2025-03-20T09:01:35,analyze_conflicts,488.75,50,51,0,0.259,2,1,4
13,2025-01-13T18:24:38,analyze_conflicts,536.89,100,101,0,0.897,2,1,4
18,2025-03-03T08:05:46,add_grade,7.63,100,1,0,0.489,2,1,4
22,2025-01-03T19:57:02,analyze_conflicts,505.24,50,51,0,0.788,2,1,4
30,2025-01-24T17:20:03,analyze_conflicts,509.43,50,51,0,0.14,2,1,4
32,2025-03-02T17:39:05,analyze_conflicts,489.85,50,51,0,0.435,2,1,4
34,2025-03-19T09:06:04,analyze_conflicts,600.37,200,201,0,0.53,2,1,4
35,2025-02-10T09:10:28,get_group_report,80.17,200,5,0,0.767,0,1,4
37,2025-01-09T09:18:38,add_grade,26.2,50,1,0,0.269,2,1,4
40,2025-03-02T19:53:23,analyze_conflicts,516.16,50,51,0,0.566,2,1,4
41,2025-01-12T08:13:43,analyze_conflicts,532.33,100,101,0,0.3,2,1,4
44,2025-01-28T19:30:14,analyze_conflicts,524.32,100,101,0,0.26,2,1,4
47,2025-02-12T08:46:50,analyze_conflicts,604.34,200,201,0,0.351,2,1,4
51,2025-01-20T18:36:19,analyze_conflicts,709.93,300,301,0,0.425,1,1,4
53,2025-01-10T19:32:42,analyze_conflicts,686.79,300,301,0,0.606,1,1,4
54,2025-01-05T18:01:02,analyze_conflicts,532.42,100,101,0,0.296,2,1,4
56,2025-01-06T09:51:44,analyze_conflicts,511.14,50,51,0,0.514,2,1,4
57,2025-02-22T09:33:35,analyze_conflicts,538.26,100,101,0,0.576,2,1,4
60,2025-01-09T09:21:20,add_grade,32.54,300,1,0,0.814,2,-1,4
68,2025-03-02T18:48:01,add_grade,1.0,100,1,0,0.86,2,1,4
69,2025-01-16T17:42:07,analyze_conflicts,486.1,50,51,0,0.551,2,1,4
70,2025-03-24T13:45:07,analyze_conflicts,606.71,200,201,0,0.722,2,1,4
71,2025-02-19T09:43:58,analyze_conflicts,623.15,200,201,0,0.867,2,1,4
72,2025-03-08T09:06:44,analyze_conflicts,543.68,100,101,0,0.718,2,1,4
75,2025-03-09T19:39:51,analyze_conflicts,540.87,100,101,0,0.836,2,1,4
79,2025-02-16T09:35:48,analyze_conflicts,529.65,100,101,0,0.292,2,1,4
82,2025-02-04T09:47:34,analyze_conflicts,548.85,100,101,0,0.861,2,1,4
85,2025-03-28T19:48:31,analyze_conflicts,637.76,200,201,0,0.182,2,1,4
87,2025-03-02T09:09:09,analyze_conflicts,703.08,300,301,0,0.749,1,1,4
93,2025-03-05T09:58:17,get_group_report,81.78,300,7,0,0.761,0,1,4
96,2025-03-19T18:01:48,analyze_conflicts,553.44,100,101,0,0.638,2,1,4
105,2025-03-09T13:52:00,analyze_conflicts,717.37,300,301,0,0.326,1,1,4
114,2025-02-14T08:09:15,analyze_conflicts,611.73,200,201,0,0.525,2,1,4
116,2025-02-22T18:00:57,analyze_conflicts,690.16,300,301,0,0.744,1,1,4
119,2025-03-13T08:17:00,analyze_conflicts,639.12,200,201,0,0.553,2,1,4
121,2025-03-25T17:42:43,analyze_conflicts,530.03,100,101,0,0.771,2,1,4
128,2025-01-10T09:31:07,add_grade,9.59,300,1,0,0.178,2,-1,4
130,2025-02-20T18:26:17,analyze_conflicts,683.96,300,301,0,0.126,1,1,4
139,2025-02-20T09:09:04,analyze_conflicts,715.97,300,301,0,0.201,1,1,4
146,2025-02-04T13:48:17,analyze_conflicts,513.81,50,51,0,0.559,2,1,4
150,2025-02-25T13:36:38,analyze_conflicts,532.47,100,101,0,0.168,2,1,4
151,2025-01-09T17:28:42,analyze_conflicts,521.99,100,101,0,0.439,2,1,4
153,2025-03-02T08:00:13,analyze_conflicts,608.82,200,201,0,0.341,2,1,4
156,2025-03-13T13:45:40,analyze_conflicts,503.03,50,51,0,0.434,2,1,4
157,2025-03-15T13:53:44,analyze_conflicts,486.87,50,51,0,0.836,2,1,4
159,2025-01-17T09:32:12,analyze_conflicts,540.42,100,101,0,0.825,2,1,4
166,2025-01-17T13:41:11,analyze_conflicts,519.3,50,51,0,0.131,2,1,4
172,2025-02-07T13:14:08,analyze_conflicts,557.91,100,101,0,0.224,2,1,4
175,2025-02-20T18:18:48,analyze_conflicts,628.78,200,201,0,0.699,2,1,4
178,2025-02-18T08:59:06,analyze_conflicts,625.65,200,201,0,0.669,2,1,4
181,2025-02-04T13:53:45,analyze_conflicts,488.98,50,51,0,0.62,2,1,4
183,2025-01-18T08:46:38,analyze_conflicts,490.24,50,51,0,0.522,2,1,4
185,2025-03-17T17:36:15,analyze_conflicts,701.44,300,301,0,0.675,1,1,4
186,2025-03-14T17:11:42,analyze_conflicts,494.11,50,51,0,0.635,2,1,4
190,2025-01-26T19:08:04,get_group_report,79.14,300,7,0,0.673,0,1,4
193,2025-02-24T13:28:57,add_grade,13.98,50,1,0,0.865,2,-1,4
199,2025-03-02T13:38:09,analyze_conflicts,615.31,200,201,0,0.643,2,1,4
200,2025-03-12T09:25:20,add_grade,26.96,300,1,0,0.62,2,-1,4
201,2025-02-17T08:24:58,analyze_conflicts,509.43,50,51,0,0.549,2,1,4
202,2025-03-10T19:44:58,analyze_conflicts,617.85,200,201,0,0.899,2,1,4
203,2025-03-15T09:05:51,analyze_conflicts,538.08,100,101,0,0.646,2,1,4
204,2025-03-10T19:57:19,add_grade,3.6,200,1,0,0.781,2,-1,4
213,2025-03-01T17:31:56,analyze_conflicts,536.66,100,101,0,0.602,2,1,4
217,2025-02-28T09:39:26,analyze_conflicts,522.02,100,101,0,0.299,2,1,4
218,2025-01-25T17:10:31,get_group_report,73.85,200,5,0,0.897,0,1,4
227,2025-03-28T17:44:40,analyze_conflicts,692.31,300,301,0,0.121,1,1,4
236,2025-02-07T18:12:52,analyze_conflicts,690.26,300,301,0,0.531,1,1,4
238,2025-02-23T08:30:06,analyze_conflicts,524.01,100,101,0,0.645,2,1,4
240,2025-01-21T18:36:14,analyze_conflicts,602.37,200,201,0,0.528,2,1,4
242,2025-03-04T08:59:21,add_grade,8.44,50,1,0,0.328,2,1,4
244,2025-01-01T18:47:21,analyze_conflicts,690.29,300,301,0,0.733,1,1,4
247,2025-01-09T17:41:23,add_grade,29.92,200,1,0,0.654,2,1,4
249,2025-01-16T17:09:29,add_grade,9.83,200,1,0,0.698,2,1,4
254,2025-02-27T19:00:47,analyze_conflicts,600.87,200,201,0,0.274,2,1,4
255,2025-03-02T13:59:57,analyze_conflicts,708.02,300,301,0,0.155,1,1,4
261,2025-01-15T09:38:43,analyze_conflicts,524.04,100,101,0,0.663,2,1,4
271,2025-01-13T19:58:15,analyze_conflicts,544.18,100,101,0,0.542,2,1,4
274,2025-03-19T08:46:26,analyze_conflicts,530.43,100,101,0,0.336,2,1,4
284,2025-03-28T18:06:57,analyze_conflicts,711.38,300,301,0,0.523,1,1,4
285,2025-02-09T19:02:59,analyze_conflicts,555.5,100,101,0,0.159,2,1,4
291,2025-02-23T09:50:40,analyze_conflicts,490.72,50,51,0,0.223,2,1,4
292,2025-02-15T09:23:48,analyze_conflicts,603.66,200,201,0,0.316,2,1,4
296,2025-02-14T09:19:30,analyze_conflicts,526.69,100,101,0,0.726,2,1,4
297,2025-03-20T19:12:29,analyze_conflicts,545.0,100,101,0,0.186,2,1,4
307,2025-02-08T09:32:47,analyze_conflicts,680.42,300,301,0,0.515,1,1,4
311,2025-03-04T08:43:51,analyze_conflicts,513.97,50,51,0,0.231,2,1,4
314,2025-01-19T19:06:51,get_group_report,77.35,200,5,0,0.798,0,1,4
322,2025-02-18T17:32:07,analyze_conflicts,709.7,300,301,0,0.558,1,1,4
335,2025-02-03T09:23:42,get_group_report,71.18,200,5,0,0.823,0,1,4
336,2025-03-25T18:14:27,analyze_conflicts,692.22,300,301,0,0.624,1,1,4
341,2025-01-25T09:07:37,analyze_conflicts,555.86,100,101,0,0.684,2,1,4
347,2025-02-17T08:18:40,analyze_conflicts,556.9,100,101,0,0.67,2,1,4
350,2025-01-02T19:15:05,analyze_conflicts,718.14,300,301,0,0.84,1,1,4
352,2025-02-12T19:33:33,analyze_conflicts,520.45,100,101,0,0.726,2,1,4
355,2025-01-09T17:49:06,analyze_conflicts,686.68,300,301,0,0.815,1,1,4
360,2025-01-12T09:12:18,add_grade,23.12,200,1,0,0.551,2,1,4
362,2025-01-08T08:34:22,get_group_report,67.3,100,3,0,0.609,2,1,4
369,2025-03-10T09:52:45,analyze_conflicts,603.62,200,201,0,0.658,2,1,4
371,2025-02-18T08:47:35,analyze_conflicts,558.08,100,101,0,0.3,2,1,4
372,2025-01-05T09:12:52,analyze_conflicts,520.48,100,101,0,0.42,2,1,4
374,2025-02-04T09:02:29,analyze_conflicts,556.2,100,101,0,0.141,2,1,4
376,2025-03-08T08:41:18,analyze_conflicts,544.56,100,101,0,0.499,2,1,4
377,2025-01-14T09:12:41,get_student_average,8.69,50,1,0,0.808,0,1,4
382,2025-03-23T17:22:58,analyze_conflicts,532.72,100,101,0,0.573,2,1,4
384,2025-01-20T08:14:01,get_group_report,63.61,300,7,0,0.521,0,1,4
387,2025-02-11T17:08:10,analyze_conflicts,684.04,300,301,0,0.686,1,1,4
388,2025-03-18T18:44:56,analyze_conflicts,692.69,300,301,0,0.843,1,1,4
393,2025-01-24T13:00:03,analyze_conflicts,490.27,50,51,0,0.409,2,1,4
399,2025-02-05T17:03:23,analyze_conflicts,701.99,300,301,0,0.103,1,1,4
403,2025-03-14T09:48:37,analyze_conflicts,506.73,50,51,0,0.282,2,1,4
414,2025-01-15T17:13:58,add_grade,29.82,300,1,0,0.759,2,1,4
417,2025-02-12T13:52:29,analyze_conflicts,508.19,50,51,0,0.504,2,1,4
419,2025-01-10T19:01:24,analyze_conflicts,633.23,200,201,0,0.14,2,1,4
426,2025-01-21T18:31:18,analyze_conflicts,605.6,200,201,0,0.308,2,1,4
427,2025-03-19T19:52:12,analyze_conflicts,681.41,300,301,0,0.375,1,1,4
430,2025-02-08T18:47:55,analyze_conflicts,603.57,200,201,0,0.346,2,1,4
