measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load
1,2025-03-24T11:57:34,get_student_grades,42.26,200,2,1,0.17
2,2025-03-20T09:01:35,analyze_conflicts,488.75,50,51,0,0.259
3,2025-01-25T11:51:10,get_teacher_subjects,23.82,300,1,1,0.659
4,2025-01-13T11:06:22,analyze_conflicts,791.66,100,101,1,0.778
5,2025-01-18T16:18:53,get_student_grades,52.88,300,2,1,0.603
6,2025-01-25T11:18:05,add_grade,20.06,500,1,1,0.784
7,2025-02-12T15:13:42,get_student_average,21.28,200,1,1,0.314
8,2025-03-24T17:15:10,get_subject_stats,26.9,50,2,0,0.47
9,2025-01-08T11:52:02,analyze_conflicts,1218.29,500,501,1,0.744
10,2025-03-11T11:13:41,analyze_conflicts,734.92,50,51,1,0.499
11,2025-03-18T10:16:47,get_subject_stats,24.17,300,2,1,0.568
12,2025-02-03T11:48:03,get_student_average,13.52,200,1,1,0.789
13,2025-01-13T18:24:38,analyze_conflicts,536.89,100,101,0,0.897
14,2025-03-18T18:48:17,get_teacher_subjects,28.33,50,1,0,0.715
15,2025-03-24T14:16:32,analyze_conflicts,751.07,200,201,1,0.71
16,2025-01-05T18:23:48,get_student_grades,28.31,200,2,0,0.229
17,2025-01-04T17:59:23,get_teacher_subjects,12.47,50,1,0,0.803
18,2025-03-03T08:05:46,add_grade,7.63,100,1,0,0.489
19,2025-03-06T10:16:33,analyze_conflicts,1061.75,500,501,1,0.798
20,2025-03-10T16:25:42,analyze_conflicts,773.68,100,101,1,0.62
21,2025-02-01T15:37:35,analyze_conflicts,1049.84,500,501,1,0.284
22,2025-01-03T19:57:02,analyze_conflicts,505.24,50,51,0,0.788
23,2025-01-24T12:59:56,analyze_conflicts,740.94,100,101,1,0.557
24,2025-02-12T14:27:26,analyze_conflicts,861.29,300,301,1,0.474
25,2025-02-26T08:55:06,get_subject_stats,17.6,50,2,0,0.299
26,2025-01-28T10:59:04,analyze_conflicts,916.47,300,301,1,0.455
27,2025-03-27T08:00:05,get_teacher_subjects,25.59,50,1,0,0.841
28,2025-01-06T15:24:00,get_group_report,118.69,300,7,1,0.888
29,2025-03-22T12:45:31,analyze_conflicts,943.86,300,301,1,0.224
30,2025-01-24T17:20:03,analyze_conflicts,509.43,50,51,0,0.14
31,2025-01-03T10:38:04,analyze_conflicts,1044.82,500,501,1,0.64
32,2025-03-02T17:39:05,analyze_conflicts,489.85,50,51,0,0.435
33,2025-01-09T12:25:08,get_teacher_subjects,36.31,200,1,1,0.637
34,2025-03-19T09:06:04,analyze_conflicts,600.37,200,201,0,0.53
35,2025-02-10T09:10:28,get_group_report,80.17,200,5,0,0.767
36,2025-03-10T08:59:42,get_teacher_subjects,39.71,500,1,0,0.183
37,2025-01-09T09:18:38,add_grade,26.2,50,1,0,0.269
38,2025-01-03T16:40:27,analyze_conflicts,847.61,200,201,1,0.763
39,2025-03-15T10:35:45,analyze_conflicts,849.07,200,201,1,0.442
40,2025-03-02T19:53:23,analyze_conflicts,516.16,50,51,0,0.566
41,2025-01-12T08:13:43,analyze_conflicts,532.33,100,101,0,0.3
42,2025-01-28T14:10:51,analyze_conflicts,1288.31,500,501,1,0.749
43,2025-02-26T19:42:55,get_student_grades,41.98,100,2,0,0.688
44,2025-01-28T19:30:14,analyze_conflicts,524.32,100,101,0,0.26
45,2025-02-11T11:17:55,add_grade,30.34,200,1,1,0.156
46,2025-02-01T14:07:56,add_grade,51.82,500,1,1,0.876
47,2025-02-12T08:46:50,analyze_conflicts,604.34,200,201,0,0.351
48,2025-01-23T14:27:00,get_teacher_subjects,11.57,50,1,1,0.516
49,2025-03-11T13:39:20,get_subject_stats,20.25,100,2,0,0.631
50,2025-02-23T16:18:35,analyze_conflicts,794.93,200,201,1,0.202
51,2025-01-20T18:36:19,analyze_conflicts,709.93,300,301,0,0.425
52,2025-03-11T11:29:28,add_grade,27.82,200,1,1,0.454
53,2025-01-10T19:32:42,analyze_conflicts,686.79,300,301,0,0.606
54,2025-01-05T18:01:02,analyze_conflicts,532.42,100,101,0,0.296
55,2025-01-23T15:44:24,analyze_conflicts,664.11,50,51,1,0.496
56,2025-01-06T09:51:44,analyze_conflicts,511.14,50,51,0,0.514
57,2025-02-22T09:33:35,analyze_conflicts,538.26,100,101,0,0.576
58,2025-02-27T19:58:35,get_student_average,46.68,500,1,0,0.457
59,2025-03-09T15:49:49,analyze_conflicts,881.54,300,301,1,0.517
60,2025-01-09T09:21:20,add_grade,32.54,300,1,0,0.814
61,2025-01-03T11:26:26,analyze_conflicts,693.01,100,101,1,0.365
62,2025-03-23T11:01:54,analyze_conflicts,716.01,50,51,1,0.805
63,2025-02-28T13:57:53,get_student_average,9.44,50,1,0,0.435
64,2025-02-01T11:24:21,get_teacher_subjects,31.89,500,1,1,0.635
65,2025-03-01T15:58:25,get_subject_stats,48.42,100,2,1,0.574
66,2025-02-13T10:20:13,get_student_grades,27.93,300,2,1,0.464
67,2025-02-27T12:05:30,analyze_conflicts,1006.94,300,301,1,0.116
68,2025-03-02T18:48:01,add_grade,1.0,100,1,0,0.86
69,2025-01-16T17:42:07,analyze_conflicts,486.1,50,51,0,0.551
70,2025-03-24T13:45:07,analyze_conflicts,606.71,200,201,0,0.722
71,2025-02-19T09:43:58,analyze_conflicts,623.15,200,201,0,0.867
72,2025-03-08T09:06:44,analyze_conflicts,543.68,100,101,0,0.718
73,2025-02-18T17:27:42,get_teacher_subjects,30.81,50,1,0,0.396
74,2025-02-21T14:57:53,add_grade,3.63,50,1,1,0.468
75,2025-03-09T19:39:51,analyze_conflicts,540.87,100,101,0,0.836
76,2025-02-28T19:15:53,get_student_average,28.7,300,1,0,0.848
77,2025-03-13T11:21:01,analyze_conflicts,996.14,300,301,1,0.495
78,2025-02-20T11:44:56,analyze_conflicts,901.78,300,301,1,0.321
79,2025-02-16T09:35:48,analyze_conflicts,529.65,100,101,0,0.292
80,2025-01-13T15:44:15,analyze_conflicts,985.86,300,301,1,0.345
81,2025-03-11T16:22:44,get_student_average,57.23,500,1,1,0.463
82,2025-02-04T09:47:34,analyze_conflicts,548.85,100,101,0,0.861
83,2025-03-19T19:48:33,get_group_report,49.37,100,3,0,0.577
84,2025-03-18T11:08:17,get_group_report,74.05,200,5,1,0.136
85,2025-03-28T19:48:31,analyze_conflicts,637.76,200,201,0,0.182
86,2025-01-09T15:55:30,analyze_conflicts,823.23,200,201,1,0.191
87,2025-03-02T09:09:09,analyze_conflicts,703.08,300,301,0,0.749
88,2025-02-20T09:38:50,get_student_grades,27.32,100,2,0,0.595
89,2025-02-10T15:36:39,get_student_average,32.88,300,1,1,0.148
90,2025-03-03T18:10:15,get_student_grades,13.44,100,2,0,0.239
91,2025-02-02T14:14:18,analyze_conflicts,667.98,50,51,1,0.666
92,2025-02-26T18:50:40,get_student_average,6.84,50,1,0,0.572
93,2025-03-05T09:58:17,get_group_report,81.78,300,7,0,0.761
94,2025-02-15T12:07:29,analyze_conflicts,753.58,100,101,1,0.651
95,2025-01-14T16:47:20,add_grade,20.18,500,1,1,0.583
