measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load,cluster_hierarchical,cluster_kmeans
1,2025-03-24T11:57:34,get_student_grades,42.26,200,2,1,0.17,1,0
3,2025-01-25T11:51:10,get_teacher_subjects,23.82,300,1,1,0.659,1,0
5,2025-01-18T16:18:53,get_student_grades,52.88,300,2,1,0.603,1,0
6,2025-01-25T11:18:05,add_grade,20.06,500,1,1,0.784,1,2
7,2025-02-12T15:13:42,get_student_average,21.28,200,1,1,0.314,1,0
8,2025-03-24T17:15:10,get_subject_stats,26.9,50,2,0,0.47,1,0
11,2025-03-18T10:16:47,get_subject_stats,24.17,300,2,1,0.568,1,0
12,2025-02-03T11:48:03,get_student_average,13.52,200,1,1,0.789,1,0
14,2025-03-18T18:48:17,get_teacher_subjects,28.33,50,1,0,0.715,1,0
16,2025-01-05T18:23:48,get_student_grades,28.31,200,2,0,0.229,1,0
17,2025-01-04T17:59:23,get_teacher_subjects,12.47,50,1,0,0.803,1,0
25,2025-02-26T08:55:06,get_subject_stats,17.6,50,2,0,0.299,1,0
27,2025-03-27T08:00:05,get_teacher_subjects,25.59,50,1,0,0.841,1,0
28,2025-01-06T15:24:00,get_group_report,118.69,300,7,1,0.888,1,0
33,2025-01-09T12:25:08,get_teacher_subjects,36.31,200,1,1,0.637,1,0
36,2025-03-10T08:59:42,get_teacher_subjects,39.71,500,1,0,0.183,1,0
43,2025-02-26T19:42:55,get_student_grades,41.98,100,2,0,0.688,1,0
45,2025-02-11T11:17:55,add_grade,30.34,200,1,1,0.156,1,2
46,2025-02-01T14:07:56,add_grade,51.82,500,1,1,0.876,1,2
48,2025-01-23T14:27:00,get_teacher_subjects,11.57,50,1,1,0.516,1,0
49,2025-03-11T13:39:20,get_subject_stats,20.25,100,2,0,0.631,1,0
52,2025-03-11T11:29:28,add_grade,27.82,200,1,1,0.454,1,2
58,2025-02-27T19:58:35,get_student_average,46.68,500,1,0,0.457,1,0
63,2025-02-28T13:57:53,get_student_average,9.44,50,1,0,0.435,1,0
64,2025-02-01T11:24:21,get_teacher_subjects,31.89,500,1,1,0.635,1,0
65,2025-03-01T15:58:25,get_subject_stats,48.42,100,2,1,0.574,1,0
66,2025-02-13T10:20:13,get_student_grades,27.93,300,2,1,0.464,1,0
73,2025-02-18T17:27:42,get_teacher_subjects,30.81,50,1,0,0.396,1,0
74,2025-02-21T14:57:53,add_grade,3.63,50,1,1,0.468,1,2
76,2025-02-28T19:15:53,get_student_average,28.7,300,1,0,0.848,1,0
81,2025-03-11T16:22:44,get_student_average,57.23,500,1,1,0.463,1,0
83,2025-03-19T19:48:33,get_group_report,49.37,100,3,0,0.577,1,0
84,2025-03-18T11:08:17,get_group_report,74.05,200,5,1,0.136,1,0
88,2025-02-20T09:38:50,get_student_grades,27.32,100,2,0,0.595,1,0
89,2025-02-10T15:36:39,get_student_average,32.88,300,1,1,0.148,1,0
90,2025-03-03T18:10:15,get_student_grades,13.44,100,2,0,0.239,1,0
92,2025-02-26T18:50:40,get_student_average,6.84,50,1,0,0.572,1,0
95,2025-01-14T16:47:20,add_grade,20.18,500,1,1,0.583,1,0
99,2025-02-11T16:07:49,add_grade,10.48,300,1,1,0.423,1,2
100,2025-02-20T15:48:31,get_student_grades,33.25,500,2,1,0.6,1,0
101,2025-03-16T16:07:01,get_group_report,69.68,200,5,1,0.879,1,0
102,2025-01-08T12:53:58,get_group_report,66.7,100,3,1,0.191,1,0
103,2025-03-09T15:26:53,get_subject_stats,20.91,100,2,1,0.486,1,0
108,2025-03-26T13:24:24,get_student_average,27.29,50,1,0,0.891,1,0
109,2025-03-11T15:55:06,get_subject_stats,14.41,100,2,1,0.799,1,0
112,2025-03-22T16:58:18,add_grade,9.69,300,1,1,0.898,1,2
113,2025-01-15T18:10:44,get_student_average,25.66,50,1,0,0.34,1,0
115,2025-03-22T10:15:31,get_group_report,73.78,100,3,1,0.83,1,2
117,2025-03-10T10:40:27,get_subject_stats,58.36,500,2,1,0.652,1,0
120,2025-02-25T17:51:14,get_subject_stats,31.31,50,2,0,0.586,1,0
122,2025-02-24T12:08:05,get_subject_stats,7.86,50,2,1,0.828,1,0
126,2025-03-12T17:06:43,get_subject_stats,21.24,200,2,0,0.287,1,0
129,2025-03-18T15:26:37,get_group_report,119.77,300,7,1,0.694,1,0
132,2025-02-03T12:42:13,get_student_grades,21.28,300,2,1,0.613,1,0
133,2025-01-26T13:36:13,get_student_grades,13.24,50,2,0,0.155,1,0
134,2025-01-26T11:57:38,get_group_report,143.71,500,11,1,0.102,1,0
135,2025-03-28T16:01:08,get_group_report,47.99,100,3,1,0.112,1,0
136,2025-02-02T13:08:47,get_group_report,90.63,500,11,0,0.437,1,0
138,2025-01-16T12:54:25,get_subject_stats,62.0,500,2,1,0.441,1,0
140,2025-03-17T19:18:29,get_teacher_subjects,26.01,500,1,0,0.504,1,0
141,2025-03-24T18:55:13,analyze_conflicts,506.04,50,51,0,0.444,1,2
142,2025-02-14T15:20:42,get_student_average,35.02,200,1,1,0.304,1,0
143,2025-01-03T09:27:06,get_subject_stats,12.65,300,2,0,0.696,1,0
145,2025-03-17T12:13:09,get_student_average,14.42,50,1,1,0.625,1,0
147,2025-03-01T17:38:59,get_teacher_subjects,40.0,500,1,0,0.626,1,0
148,2025-02-12T12:00:11,get_student_grades,23.52,100,2,1,0.796,1,0
149,2025-01-24T10:33:13,get_student_average,39.54,50,1,1,0.401,1,0
