measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load,cluster_kmeans,cluster_dbscan,cluster_hierarchical
2,2025-03-20T09:01:35,analyze_conflicts,488.75,50,51,0,0.259,2,1,4
4,2025-01-13T11:06:22,analyze_conflicts,791.66,100,101,1,0.778,2,2,3
6,2025-01-25T11:18:05,add_grade,20.06,500,1,1,0.784,2,-1,1
10,2025-03-11T11:13:41,analyze_conflicts,734.92,50,51,1,0.499,2,2,3
13,2025-01-13T18:24:38,analyze_conflicts,536.89,100,101,0,0.897,2,1,4
15,2025-03-24T14:16:32,analyze_conflicts,751.07,200,201,1,0.71,2,2,3
18,2025-03-03T08:05:46,add_grade,7.63,100,1,0,0.489,2,1,4
20,2025-03-10T16:25:42,analyze_conflicts,773.68,100,101,1,0.62,2,2,3
22,2025-01-03T19:57:02,analyze_conflicts,505.24,50,51,0,0.788,2,1,4
23,2025-01-24T12:59:56,analyze_conflicts,740.94,100,101,1,0.557,2,2,3
30,2025-01-24T17:20:03,analyze_conflicts,509.43,50,51,0,0.14,2,1,4
32,2025-03-02T17:39:05,analyze_conflicts,489.85,50,51,0,0.435,2,1,4
34,2025-03-19T09:06:04,analyze_conflicts,600.37,200,201,0,0.53,2,1,4
37,2025-01-09T09:18:38,add_grade,26.2,50,1,0,0.269,2,1,4
38,2025-01-03T16:40:27,analyze_conflicts,847.61,200,201,1,0.763,2,2,3
39,2025-03-15T10:35:45,analyze_conflicts,849.07,200,201,1,0.442,2,2,3
40,2025-03-02T19:53:23,analyze_conflicts,516.16,50,51,0,0.566,2,1,4
41,2025-01-12T08:13:43,analyze_conflicts,532.33,100,101,0,0.3,2,1,4
44,2025-01-28T19:30:14,analyze_conflicts,524.32,100,101,0,0.26,2,1,4
45,2025-02-11T11:17:55,add_grade,30.34,200,1,1,0.156,2,0,1
46,2025-02-01T14:07:56,add_grade,51.82,500,1,1,0.876,2,-1,1
47,2025-02-12T08:46:50,analyze_conflicts,604.34,200,201,0,0.351,2,1,4
50,2025-02-23T16:18:35,analyze_conflicts,794.93,200,201,1,0.202,2,2,3
52,2025-03-11T11:29:28,add_grade,27.82,200,1,1,0.454,2,0,1
54,2025-01-05T18:01:02,analyze_conflicts,532.42,100,101,0,0.296,2,1,4
55,2025-01-23T15:44:24,analyze_conflicts,664.11,50,51,1,0.496,2,2,3
56,2025-01-06T09:51:44,analyze_conflicts,511.14,50,51,0,0.514,2,1,4
57,2025-02-22T09:33:35,analyze_conflicts,538.26,100,101,0,0.576,2,1,4
60,2025-01-09T09:21:20,add_grade,32.54,300,1,0,0.814,2,-1,4
61,2025-01-03T11:26:26,analyze_conflicts,693.01,100,101,1,0.365,2,2,3
62,2025-03-23T11:01:54,analyze_conflicts,716.01,50,51,1,0.805,2,2,3
68,2025-03-02T18:48:01,add_grade,1.0,100,1,0,0.86,2,1,4
69,2025-01-16T17:42:07,analyze_conflicts,486.1,50,51,0,0.551,2,1,4
70,2025-03-24T13:45:07,analyze_conflicts,606.71,200,201,0,0.722,2,1,4
71,2025-02-19T09:43:58,analyze_conflicts,623.15,200,201,0,0.867,2,1,4
72,2025-03-08T09:06:44,analyze_conflicts,543.68,100,101,0,0.718,2,1,4
74,2025-02-21T14:57:53,add_grade,3.63,50,1,1,0.468,2,0,1
75,2025-03-09T19:39:51,analyze_conflicts,540.87,100,101,0,0.836,2,1,4
79,2025-02-16T09:35:48,analyze_conflicts,529.65,100,101,0,0.292,2,1,4
82,2025-02-04T09:47:34,analyze_conflicts,548.85,100,101,0,0.861,2,1,4
85,2025-03-28T19:48:31,analyze_conflicts,637.76,200,201,0,0.182,2,1,4
86,2025-01-09T15:55:30,analyze_conflicts,823.23,200,201,1,0.191,2,2,3
